name,ingredients,diet,is_vegan_friendly,course,flavor_profile,region,prep_time,cook_time,calories_per_100g,protein_g,fat_g,carbs_g,fiber_g,nutrition_source,text
Ras malai,"Chhena, reduced milk, pistachio",vegetarian,False,dessert,sweet,East,180.0,60.0,1353.0,13.5,24.5,10.0,5.3,ifct_composition,"Ras malai (vegetarian) dessert with Chhena, reduced milk, pistachio, sweet flavor, East Indian cuisine"
Rasgulla,"Chhena, sugar, cardamom",vegetarian,True,dessert,sweet,East,10.0,90.0,576.0,4.3,1.4,18.7,11.9,ifct_composition,"Rasgulla (vegetarian) dessert with Chhena, sugar, cardamom, sweet flavor, East Indian cuisine"
Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,False,dessert,sweet,East,30.0,20.0,533.7,4.1,3.1,14.3,7.9,ifct_composition,"Sandesh (vegetarian) dessert with Milk, sugar, saffron, cardamom, sweet flavor, East Indian cuisine"
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,False,dessert,sweet,East,10.0,50.0,422.9,1.3,0.2,21.8,0.5,ifct_composition,"Adhirasam (vegetarian) dessert with Rice flour, jaggery, ghee, vegetable oil, elachi, sweet flavor, East Indian cuisine"
Ariselu,"Rice flour, jaggery, ghee",vegetarian,False,dessert,sweet,South,15.0,75.0,986.7,3.1,0.4,50.9,1.2,ifct_composition,"Ariselu (vegetarian) dessert with Rice flour, jaggery, ghee, sweet flavor, South Indian cuisine"
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,False,dessert,sweet,South,5.0,35.0,966.9,5.2,1.2,44.3,6.1,ifct_composition,"Bandar laddu (vegetarian) dessert with Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar, sweet flavor, South Indian cuisine"
Chikki,"Peanuts, jaggery",vegetarian,True,dessert,sweet,West,10.0,20.0,1480.0,1.9,0.2,84.3,0.0,ifct_composition,"Chikki (vegetarian) dessert with Peanuts, jaggery, sweet flavor, West Indian cuisine"
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,False,dessert,sweet,South,20.0,60.0,327.7,2.7,4.4,4.9,0.2,ifct_composition,"Dharwad pedha (vegetarian) dessert with Milk, Sugar, Dharwadi buffalo milk, sweet flavor, South Indian cuisine"
Double ka meetha,"Loaf bread, milk",vegetarian,False,dessert,sweet,South,20.0,30.0,449.0,3.7,6.6,5.5,0.0,ifct_composition,"Double ka meetha (vegetarian) dessert with Loaf bread, milk, sweet flavor, South Indian cuisine"
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,False,dessert,sweet,South,10.0,30.0,740.2,4.9,0.5,33.0,3.5,ifct_composition,"Gavvalu (vegetarian) dessert with Rice flour, sugar, salt, ghee, semolina, sweet flavor, South Indian cuisine"
Kakinada khaja,"Wheat flour, sugar",vegetarian,True,dessert,sweet,South,10.0,30.0,712.5,5.6,0.8,31.1,6.0,ifct_composition,"Kakinada khaja (vegetarian) dessert with Wheat flour, sugar, sweet flavor, South Indian cuisine"
Kuzhi paniyaram,"Black lentils, rice",vegetarian,True,dessert,sweet,South,10.0,20.0,1485.0,11.0,3.4,62.6,5.2,ifct_composition,"Kuzhi paniyaram (vegetarian) dessert with Black lentils, rice, sweet flavor, South Indian cuisine"
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,False,dessert,sweet,South,5.0,20.0,1095.1,8.8,9.7,30.5,6.4,ifct_composition,"Mysore pak (vegetarian) dessert with Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee, sweet flavor, South Indian cuisine"
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,False,main course,sweet,South,180.0,60.0,1296.1,8.0,10.5,41.1,11.4,ifct_composition,"Obbattu holige (vegetarian) main course with Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom, sweet flavor, South Indian cuisine"
Palathalikalu,"Rice flour, milk",vegetarian,False,dessert,sweet,South,10.0,25.0,964.5,5.6,3.9,36.9,1.7,ifct_composition,"Palathalikalu (vegetarian) dessert with Rice flour, milk, sweet flavor, South Indian cuisine"
Poornalu,"Chana dal, jaggery",vegetarian,True,dessert,sweet,South,240.0,60.0,1480.0,1.9,0.2,84.3,0.0,ifct_composition,"Poornalu (vegetarian) dessert with Chana dal, jaggery, sweet flavor, South Indian cuisine"
Pongal,"Rice, jaggery, cashews, ghee",vegetarian,False,dessert,sweet,South,5.0,20.0,986.7,3.1,0.4,50.9,1.2,ifct_composition,"Pongal (vegetarian) dessert with Rice, jaggery, cashews, ghee, sweet flavor, South Indian cuisine"
Pootharekulu,"Rice flour, powdered sugar, ghee",vegetarian,False,dessert,sweet,South,10.0,60.0,740.0,3.7,0.6,34.2,1.7,ifct_composition,"Pootharekulu (vegetarian) dessert with Rice flour, powdered sugar, ghee, sweet flavor, South Indian cuisine"
Qubani ka meetha,"Apricots, sugar syrup",vegetarian,True,dessert,sweet,South,10.0,20.0,703.0,1.9,0.5,36.9,2.0,ifct_composition,"Qubani ka meetha (vegetarian) dessert with Apricots, sugar syrup, sweet flavor, South Indian cuisine"
Sheer korma,"Vermicelli pudding, milk",vegetarian,False,dessert,sweet,South,10.0,20.0,920.5,6.7,3.5,31.2,4.6,ifct_composition,"Sheer korma (vegetarian) dessert with Vermicelli pudding, milk, sweet flavor, South Indian cuisine"
Unni Appam,"Rice flour, banana, jaggery, coconut",vegetarian,True,dessert,sweet,South,10.0,20.0,1508.5,4.5,16.2,44.5,5.4,ifct_composition,"Unni Appam (vegetarian) dessert with Rice flour, banana, jaggery, coconut, sweet flavor, South Indian cuisine"
Kajjikaya,"Rice flour, jaggery, coconut",vegetarian,True,dessert,sweet,South,40.0,15.0,1857.0,5.5,21.5,53.2,6.4,ifct_composition,"Kajjikaya (vegetarian) dessert with Rice flour, jaggery, coconut, sweet flavor, South Indian cuisine"
Anarsa,"Rice flour, jaggery, khus-khus seeds",vegetarian,True,dessert,sweet,West,10.0,50.0,1480.0,4.6,0.6,76.4,1.7,ifct_composition,"Anarsa (vegetarian) dessert with Rice flour, jaggery, khus-khus seeds, sweet flavor, West Indian cuisine"
Basundi,"Sugar, milk, nuts",vegetarian,False,dessert,sweet,West,10.0,35.0,930.3,9.2,16.4,7.9,3.8,ifct_composition,"Basundi (vegetarian) dessert with Sugar, milk, nuts, sweet flavor, West Indian cuisine"
Dhondas,"Cucumber, rava",vegetarian,True,dessert,sweet,West,10.0,50.0,274.5,11.1,1.5,0.4,1.1,ifct_composition,"Dhondas (vegetarian) dessert with Cucumber, rava, sweet flavor, West Indian cuisine"
Doodhpak,"Milk, rice, sugar, dry fruits",vegetarian,False,dessert,sweet,West,10.0,60.0,853.0,5.1,2.9,34.6,4.1,ifct_composition,"Doodhpak (vegetarian) dessert with Milk, rice, sugar, dry fruits, sweet flavor, West Indian cuisine"
Mahim halwa,"Semolina, sugar",vegetarian,True,dessert,sweet,West,10.0,25.0,740.5,6.0,0.5,31.8,5.2,ifct_composition,"Mahim halwa (vegetarian) dessert with Semolina, sugar, sweet flavor, West Indian cuisine"
Modak,"Rice flour, coconut, jaggery ",vegetarian,True,dessert,sweet,West,10.0,15.0,1857.0,5.5,21.5,53.2,6.4,ifct_composition,"Modak (vegetarian) dessert with Rice flour, coconut, jaggery , sweet flavor, West Indian cuisine"
Shankarpali,"Sugar, ghee, maida flour, semolina",vegetarian,False,dessert,sweet,West,10.0,35.0,738.2,5.6,0.4,33.8,3.3,ifct_composition,"Shankarpali (vegetarian) dessert with Sugar, ghee, maida flour, semolina, sweet flavor, West Indian cuisine"
Shrikhand,"Curd, sugar, saffron, cardamom",vegetarian,False,dessert,sweet,West,10.0,720.0,485.7,4.0,2.4,14.1,7.9,ifct_composition,"Shrikhand (vegetarian) dessert with Curd, sugar, saffron, cardamom, sweet flavor, West Indian cuisine"
Sutar feni,"Maida, sugar, ghee",vegetarian,False,dessert,sweet,West,15.0,55.0,519.0,3.7,0.3,25.2,1.2,ifct_composition,"Sutar feni (vegetarian) dessert with Maida, sugar, ghee, sweet flavor, West Indian cuisine"
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",non vegetarian,False,main course,spicy,North East,10.0,40.0,288.2,7.0,0.6,6.0,3.4,ifct_composition,"Maach Jhol (non vegetarian) main course with Fish, potol, tomato, chillies, ginger, garlic, spicy flavor, North East Indian cuisine"
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",non vegetarian,False,main course,spicy,North East,,,116.6,1.7,0.2,3.6,2.2,ifct_composition,"Pork Bharta (non vegetarian) main course with Boiled pork, onions, chillies, ginger and garlic, spicy flavor, North East Indian cuisine"
Chak Hao Kheer,"Rice, milk, sugar, cardamom",vegetarian,False,dessert,sweet,North East,240.0,45.0,770.2,5.0,2.6,27.8,6.8,ifct_composition,"Chak Hao Kheer (vegetarian) dessert with Rice, milk, sugar, cardamom, sweet flavor, North East Indian cuisine"
Galho,"Rice, axone, salt, water, chillies, pork",non vegetarian,False,main course,spicy,North East,5.0,15.0,687.2,7.0,5.2,18.8,2.3,ifct_composition,"Galho (non vegetarian) main course with Rice, axone, salt, water, chillies, pork, spicy flavor, North East Indian cuisine"
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,True,main course,spicy,North,10.0,20.0,470.0,5.1,1.7,15.8,10.8,ifct_composition,"Aloo gobi (vegetarian) main course with Cauliflower, potato, garam masala, turmeric, curry leaves, spicy flavor, North Indian cuisine"
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,True,main course,spicy,North,5.0,20.0,886.0,4.5,0.7,40.1,2.6,ifct_partial,"Aloo tikki (vegetarian) main course with Rice flour, potato, bread crumbs, garam masala, salt, spicy flavor, North Indian cuisine"
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,True,main course,spicy,North,5.0,40.0,500.0,6.7,0.8,17.2,6.8,ifct_composition,"Aloo matar (vegetarian) main course with Potato, peas, chillies, ginger, garam masala, garlic, spicy flavor, North Indian cuisine"
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",vegetarian,True,main course,bitter,North,10.0,40.0,89.6,1.1,0.3,2.3,1.6,ifct_composition,"Aloo methi (vegetarian) main course with Potato, fenugreek leaves, chillies, salt, oil, bitter flavor, North Indian cuisine"
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,True,main course,spicy,North,10.0,40.0,292.0,1.5,0.2,11.8,1.7,ifct_partial,"Aloo shimla mirch (vegetarian) main course with Potato, shimla mirch, garam masala, amchur powder, salt, spicy flavor, North Indian cuisine"
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,False,main course,spicy,North,20.0,20.0,748.0,11.7,2.7,25.6,0.9,ifct_composition,"Bhatura (vegetarian) main course with Chole, rava, yogurt, plain flour, baking soda, spicy flavor, North Indian cuisine"
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,True,main course,spicy,North,20.0,30.0,101.0,1.6,0.2,1.3,2.9,ifct_partial,"Bhindi masala (vegetarian) main course with Ladies finger, garam masala, kasuri methi, tomatoes, chili powder, spicy flavor, North Indian cuisine"
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,False,main course,spicy,South,30.0,120.0,692.8,8.5,0.9,25.9,4.6,ifct_composition,"Biryani (non vegetarian) main course with Chicken thighs, basmati rice, star anise, sweet, green chillies, spicy flavor, South Indian cuisine"
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,False,main course,spicy,North,10.0,35.0,944.0,8.0,16.6,10.0,1.9,ifct_composition,"Butter chicken (non vegetarian) main course with Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter, spicy flavor, North Indian cuisine"
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,True,main course,spicy,North,20.0,30.0,354.8,5.5,0.6,11.4,5.1,ifct_composition,"Chana masala (vegetarian) main course with Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil, spicy flavor, North Indian cuisine"
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,True,main course,mild,West,10.0,10.0,468.7,3.5,0.4,21.7,2.4,ifct_composition,"Chapati (vegetarian) main course with Whole wheat flour, olive oil, hot water, all purpose flour, mild flavor, West Indian cuisine"
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,False,main course,spicy,East,10.0,35.0,944.0,8.0,16.6,10.0,1.9,ifct_composition,"Chicken razala (non vegetarian) main course with Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron, spicy flavor, East Indian cuisine"
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non vegetarian,False,main course,spicy,North,10.0,50.0,846.0,10.3,6.5,0.7,0.8,ifct_partial,"Chicken Tikka masala (non vegetarian) main course with Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala, spicy flavor, North Indian cuisine"
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,False,starter,spicy,North,120.0,45.0,1065.8,7.6,1.1,47.2,7.0,ifct_composition,"Chicken Tikka (non vegetarian) starter with Chicken, whole wheat bread, rice flour, garam masala powder, whole egg, spicy flavor, North Indian cuisine"
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,True,main course,spicy,North,20.0,30.0,287.0,13.5,1.0,0.0,0.0,ifct_partial,"Chole bhature (vegetarian) main course with Chole, bhatura, garam masala, bay leaf, cinnamon stick, spicy flavor, North Indian cuisine"
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,True,main course,spicy,West,10.0,90.0,1750.7,17.6,20.5,34.3,11.3,ifct_composition,"Daal baati churma (vegetarian) main course with Moong dal, masoor dal, chana dal, wheat flour, almond, spicy flavor, West Indian cuisine"
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,True,main course,spicy,East,30.0,30.0,1179.0,16.3,0.9,44.2,6.7,ifct_composition,"Daal puri (vegetarian) main course with Moong dal, garam masala powder, garlic, green chilli, all purpose flour, spicy flavor, East Indian cuisine"
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,False,main course,sweet,North,10.0,60.0,1304.0,21.5,1.7,44.4,14.2,ifct_partial,"Dal makhani  (vegetarian) main course with Red kidney beans, urad dal, cream, garam masala, chili powder, sweet flavor, North Indian cuisine"
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,True,main course,spicy,North,10.0,30.0,917.0,14.2,1.5,30.1,13.0,ifct_composition,"Dal tadka (vegetarian) main course with Pigeon peas, garam masala, ginger, red onion, kasuri methi, spicy flavor, North Indian cuisine"
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,True,main course,spicy,North,20.0,50.0,943.7,7.5,15.6,9.7,3.9,ifct_composition,"Dum aloo (vegetarian) main course with Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes, spicy flavor, North Indian cuisine"
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,True,snack,spicy,West,20.0,30.0,710.8,8.1,0.9,25.7,6.3,ifct_composition,"Poha (vegetarian) snack with Beaten rice flakes, potato, curry leaves, green chilies, lemon juice, spicy flavor, West Indian cuisine"
Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",vegetarian,True,snack,spicy,Central,10.0,60.0,1348.0,16.8,1.6,53.7,11.6,ifct_partial,"Fara (vegetarian) snack with Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder, spicy flavor, Central Indian cuisine"
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,True,snack,spicy,North,30.0,60.0,915.0,22.7,2.0,21.0,4.7,ifct_partial,"Kachori (vegetarian) snack with Moong dal, rava, garam masala, dough, fennel seeds, spicy flavor, North Indian cuisine"
Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,False,main course,spicy,North,20.0,30.0,1674.0,14.4,24.0,29.5,18.5,ifct_partial,"Kadai paneer (vegetarian) main course with Cottage cheese, bell peppers, gravy, garam masala, cashew nuts, spicy flavor, North Indian cuisine"
Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves",vegetarian,True,main course,spicy,North,10.0,60.0,812.5,13.2,3.1,23.0,13.1,ifct_composition,"Kadhi pakoda (vegetarian) main course with Besan, garam masala powder, gram flour, ginger, curry leaves, spicy flavor, North Indian cuisine"
Karela bharta,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",vegetarian,True,main course,bitter,North,20.0,50.0,87.0,1.4,0.2,1.0,3.8,ifct_partial,"Karela bharta (vegetarian) main course with Bitter gourd, fennel, garam masala powder, chili powder, amchur powder, bitter flavor, North Indian cuisine"
Khichdi,"Moong dal, green peas, ginger, tomato, green chili",vegetarian,True,main course,spicy,any,40.0,20.0,881.2,15.0,1.0,26.5,7.0,ifct_composition,"Khichdi (vegetarian) main course with Moong dal, green peas, ginger, tomato, green chili, spicy flavor, any Indian cuisine"
Kofta,"Paneer, potato, cream, corn flour, garam masala",vegetarian,False,main course,spicy,North,20.0,40.0,299.0,2.1,0.8,8.2,3.9,ifct_partial,"Kofta (vegetarian) main course with Paneer, potato, cream, corn flour, garam masala, spicy flavor, North Indian cuisine"
Kulfi falooda,"Rose syrup, falooda sev, mixed nuts, saffron, sugar",vegetarian,True,dessert,sweet,any,45.0,25.0,85.0,0.6,0.2,3.7,0.7,ifct_partial,"Kulfi falooda (vegetarian) dessert with Rose syrup, falooda sev, mixed nuts, saffron, sugar, sweet flavor, any Indian cuisine"
Lauki ke kofte,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",vegetarian,True,main course,spicy,North,20.0,40.0,461.0,6.7,1.8,12.7,6.9,ifct_composition,"Lauki ke kofte (vegetarian) main course with Bottle gourd, garam masala powder, gram flour, ginger, chillies, spicy flavor, North Indian cuisine"
Lauki ki subji,"Bottle gourd, coconut oil, garam masala, ginger, green chillies",vegetarian,True,main course,spicy,any,10.0,20.0,234.1,3.8,0.3,6.9,2.4,ifct_composition,"Lauki ki subji (vegetarian) main course with Bottle gourd, coconut oil, garam masala, ginger, green chillies, spicy flavor, any Indian cuisine"
Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",vegetarian,True,main course,spicy,North,45.0,60.0,748.8,9.0,2.0,26.1,8.2,ifct_composition,"Litti chokha (vegetarian) main course with Wheat flour, roasted gram flour, tomato, nigella seeds, chilli, spicy flavor, North Indian cuisine"
