exercise_id,name,body_part,equipment,level,type,desc,text
ex_0020,Advanced Kettlebell Windmill,Abdominals,Kettlebells,Beginner,Strength,Advanced Kettlebell Windmill is a beginner-level strength exercise targeting abdominals.,Advanced Kettlebell Windmill targeting Abdominals using Kettlebells at Beginner level. Advanced Kettlebell Windmill is a beginner-level strength exercise targeting abdominals.
ex_0021,Kettlebell Windmill,Abdominals,Kettlebells,Intermediate,Strength,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.","Kettlebell Windmill targeting Abdominals using Kettlebells at Intermediate level. The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue."
ex_0022,Kettlebell Pass Between The Legs,Abdominals,Kettlebells,Beginner,Strength,Kettlebell Pass Between The Legs is a beginner-level strength exercise targeting abdominals.,Kettlebell Pass Between The Legs targeting Abdominals using Kettlebells at Beginner level. Kettlebell Pass Between The Legs is a beginner-level strength exercise targeting abdominals.
ex_0023,Kettlebell 3-point leg extension,Abdominals,Kettlebells,Intermediate,Strength,"The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout.","Kettlebell 3-point leg extension targeting Abdominals using Kettlebells at Intermediate level. The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout."
ex_0024,Double Kettlebell Swing,Abdominals,Kettlebells,Intermediate,Strength,Double Kettlebell Swing is a intermediate-level strength exercise targeting abdominals.,Double Kettlebell Swing targeting Abdominals using Kettlebells at Intermediate level. Double Kettlebell Swing is a intermediate-level strength exercise targeting abdominals.
ex_0025,Burpee over kettlebell,Abdominals,Kettlebells,Intermediate,Strength,"The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training.","Burpee over kettlebell targeting Abdominals using Kettlebells at Intermediate level. The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training."
ex_0026,Kettlebell toe-touch,Abdominals,Kettlebells,Intermediate,Strength,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.","Kettlebell toe-touch targeting Abdominals using Kettlebells at Intermediate level. The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training."
ex_0027,Kettlebell swing,Abdominals,Kettlebells,Intermediate,Strength,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.","Kettlebell swing targeting Abdominals using Kettlebells at Intermediate level. The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift."
ex_0028,Two-way swing,Abdominals,Kettlebells,Intermediate,Strength,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.","Two-way swing targeting Abdominals using Kettlebells at Intermediate level. The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing."
ex_0029,Kettlebell crab reach,Abdominals,Kettlebells,Intermediate,Strength,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.","Kettlebell crab reach targeting Abdominals using Kettlebells at Intermediate level. The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core."
ex_0030,Taylor Single-Arm Kettlebell Swing,Abdominals,Kettlebells,Intermediate,Strength,Taylor Single-Arm Kettlebell Swing is a intermediate-level strength exercise targeting abdominals.,Taylor Single-Arm Kettlebell Swing targeting Abdominals using Kettlebells at Intermediate level. Taylor Single-Arm Kettlebell Swing is a intermediate-level strength exercise targeting abdominals.
ex_0031,Holman Kettlebell Up to Elbow Down,Abdominals,Kettlebells,Intermediate,Strength,Holman Kettlebell Up to Elbow Down is a intermediate-level strength exercise targeting abdominals.,Holman Kettlebell Up to Elbow Down targeting Abdominals using Kettlebells at Intermediate level. Holman Kettlebell Up to Elbow Down is a intermediate-level strength exercise targeting abdominals.
ex_0032,FYR2 Double-Kettlebell Ski,Abdominals,Kettlebells,Intermediate,Strength,FYR2 Double-Kettlebell Ski is a intermediate-level strength exercise targeting abdominals.,FYR2 Double-Kettlebell Ski targeting Abdominals using Kettlebells at Intermediate level. FYR2 Double-Kettlebell Ski is a intermediate-level strength exercise targeting abdominals.
ex_0033,FYR2 Kettlebell Hike,Abdominals,Kettlebells,Intermediate,Strength,FYR2 Kettlebell Hike is a intermediate-level strength exercise targeting abdominals.,FYR2 Kettlebell Hike targeting Abdominals using Kettlebells at Intermediate level. FYR2 Kettlebell Hike is a intermediate-level strength exercise targeting abdominals.
ex_0034,FYR2 Kettlebell Cross-Body Catch,Abdominals,Kettlebells,Intermediate,Strength,FYR2 Kettlebell Cross-Body Catch is a intermediate-level strength exercise targeting abdominals.,FYR2 Kettlebell Cross-Body Catch targeting Abdominals using Kettlebells at Intermediate level. FYR2 Kettlebell Cross-Body Catch is a intermediate-level strength exercise targeting abdominals.
ex_0035,FYR2 Kettlebell Duck Walk,Abdominals,Kettlebells,Intermediate,Strength,FYR2 Kettlebell Duck Walk is a intermediate-level strength exercise targeting abdominals.,FYR2 Kettlebell Duck Walk targeting Abdominals using Kettlebells at Intermediate level. FYR2 Kettlebell Duck Walk is a intermediate-level strength exercise targeting abdominals.
ex_0036,FYR2 Kettlebell Get-Up Reach,Abdominals,Kettlebells,Intermediate,Strength,FYR2 Kettlebell Get-Up Reach is a intermediate-level strength exercise targeting abdominals.,FYR2 Kettlebell Get-Up Reach targeting Abdominals using Kettlebells at Intermediate level. FYR2 Kettlebell Get-Up Reach is a intermediate-level strength exercise targeting abdominals.
ex_0037,FYR2 Kettlebell Juggle,Abdominals,Kettlebells,Intermediate,Strength,FYR2 Kettlebell Juggle is a intermediate-level strength exercise targeting abdominals.,FYR2 Kettlebell Juggle targeting Abdominals using Kettlebells at Intermediate level. FYR2 Kettlebell Juggle is a intermediate-level strength exercise targeting abdominals.
ex_0038,FYR2 Squat-Clean-Alternating-Press Complex,Abdominals,Kettlebells,Intermediate,Strength,FYR2 Squat-Clean-Alternating-Press Complex is a intermediate-level strength exercise targeting abdominals.,FYR2 Squat-Clean-Alternating-Press Complex targeting Abdominals using Kettlebells at Intermediate level. FYR2 Squat-Clean-Alternating-Press Complex is a intermediate-level strength exercise targeting abdominals.
ex_0039,Dumbbell V-Sit Cross Jab,Abdominals,Dumbbell,Intermediate,Strength,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.","Dumbbell V-Sit Cross Jab targeting Abdominals using Dumbbell at Intermediate level. The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge."
ex_0040,Dumbbell spell caster,Abdominals,Dumbbell,Beginner,Strength,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.","Dumbbell spell caster targeting Abdominals using Dumbbell at Beginner level. The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control."
ex_0041,Dumbbell side bend,Abdominals,Dumbbell,Intermediate,Strength,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.","Dumbbell side bend targeting Abdominals using Dumbbell at Intermediate level. The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides."
ex_0042,Dumbbell crunch,Abdominals,Dumbbell,Intermediate,Strength,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.","Dumbbell crunch targeting Abdominals using Dumbbell at Intermediate level. The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training."
ex_0043,Dumbbell Fix Dumbbell Sprawl,Abdominals,Dumbbell,Intermediate,Strength,Dumbbell Fix Dumbbell Sprawl is a intermediate-level strength exercise targeting abdominals.,Dumbbell Fix Dumbbell Sprawl targeting Abdominals using Dumbbell at Intermediate level. Dumbbell Fix Dumbbell Sprawl is a intermediate-level strength exercise targeting abdominals.
ex_0044,Dumbbell Fix Alternating Renegade Row,Abdominals,Dumbbell,Intermediate,Strength,Dumbbell Fix Alternating Renegade Row is a intermediate-level strength exercise targeting abdominals.,Dumbbell Fix Alternating Renegade Row targeting Abdominals using Dumbbell at Intermediate level. Dumbbell Fix Alternating Renegade Row is a intermediate-level strength exercise targeting abdominals.
ex_0045,Dumbbell Fix Dumbbell Mountain Climber,Abdominals,Dumbbell,Intermediate,Strength,Dumbbell Fix Dumbbell Mountain Climber is a intermediate-level strength exercise targeting abdominals.,Dumbbell Fix Dumbbell Mountain Climber targeting Abdominals using Dumbbell at Intermediate level. Dumbbell Fix Dumbbell Mountain Climber is a intermediate-level strength exercise targeting abdominals.
ex_0046,Dumbbell Fix Dumbbell Russian Twist,Abdominals,Dumbbell,Intermediate,Strength,Dumbbell Fix Dumbbell Russian Twist is a intermediate-level strength exercise targeting abdominals.,Dumbbell Fix Dumbbell Russian Twist targeting Abdominals using Dumbbell at Intermediate level. Dumbbell Fix Dumbbell Russian Twist is a intermediate-level strength exercise targeting abdominals.
ex_0047,Dumbbell Fix Dumbbell Pull-Over,Abdominals,Dumbbell,Intermediate,Strength,Dumbbell Fix Dumbbell Pull-Over is a intermediate-level strength exercise targeting abdominals.,Dumbbell Fix Dumbbell Pull-Over targeting Abdominals using Dumbbell at Intermediate level. Dumbbell Fix Dumbbell Pull-Over is a intermediate-level strength exercise targeting abdominals.
ex_0048,Dumbbell Fix Dumbbell Sit-Up,Abdominals,Dumbbell,Intermediate,Strength,Dumbbell Fix Dumbbell Sit-Up is a intermediate-level strength exercise targeting abdominals.,Dumbbell Fix Dumbbell Sit-Up targeting Abdominals using Dumbbell at Intermediate level. Dumbbell Fix Dumbbell Sit-Up is a intermediate-level strength exercise targeting abdominals.
ex_0049,Dumbbell Fix Dumbbell Front Squat,Abdominals,Dumbbell,Intermediate,Strength,Dumbbell Fix Dumbbell Front Squat is a intermediate-level strength exercise targeting abdominals.,Dumbbell Fix Dumbbell Front Squat targeting Abdominals using Dumbbell at Intermediate level. Dumbbell Fix Dumbbell Front Squat is a intermediate-level strength exercise targeting abdominals.
ex_0050,Dumbbell Fix Full Man Maker,Abdominals,Dumbbell,Intermediate,Strength,Dumbbell Fix Full Man Maker is a intermediate-level strength exercise targeting abdominals.,Dumbbell Fix Full Man Maker targeting Abdominals using Dumbbell at Intermediate level. Dumbbell Fix Full Man Maker is a intermediate-level strength exercise targeting abdominals.
ex_0051,Dumbbell T-hold,Abdominals,Dumbbell,Intermediate,Strength,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.","Dumbbell T-hold targeting Abdominals using Dumbbell at Intermediate level. The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation."
ex_0052,Dumbbell hollow-body floor press,Abdominals,Dumbbell,Intermediate,Strength,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.,Dumbbell hollow-body floor press targeting Abdominals using Dumbbell at Intermediate level. The dumbbell hollow-body floor press combines upper-body strength and core work in one move.
ex_0053,Dumbbell crusher,Abdominals,Dumbbell,Intermediate,Strength,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.","Dumbbell crusher targeting Abdominals using Dumbbell at Intermediate level. The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use."
ex_0054,Dumbbell Crunch - Gethin Variation,Abdominals,Dumbbell,Intermediate,Strength,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.","Dumbbell Crunch - Gethin Variation targeting Abdominals using Dumbbell at Intermediate level. The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training."
ex_0055,Single-arm dumbbell crunch,Abdominals,Dumbbell,Intermediate,Strength,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles.","Single-arm dumbbell crunch targeting Abdominals using Dumbbell at Intermediate level. The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles."
ex_0056,HM Alternating Dumbbell Plank Row,Abdominals,Dumbbell,Intermediate,Strength,HM Alternating Dumbbell Plank Row is a intermediate-level strength exercise targeting abdominals.,HM Alternating Dumbbell Plank Row targeting Abdominals using Dumbbell at Intermediate level. HM Alternating Dumbbell Plank Row is a intermediate-level strength exercise targeting abdominals.
ex_0057,Dumbbell straight-legged hip raise,Abdominals,Dumbbell,Intermediate,Strength,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.,Dumbbell straight-legged hip raise targeting Abdominals using Dumbbell at Intermediate level. The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.
ex_0058,Seated leg tuck with dumbbell,Abdominals,Dumbbell,Intermediate,Strength,The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.,Seated leg tuck with dumbbell targeting Abdominals using Dumbbell at Intermediate level. The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.
ex_0059,Dumbbell V-sit cross jab-,Abdominals,Dumbbell,Intermediate,Strength,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.","Dumbbell V-sit cross jab- targeting Abdominals using Dumbbell at Intermediate level. The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge."
ex_0060,30 Hanging Leg Raise With Dumbbell,Abdominals,Dumbbell,Intermediate,Strength,30 Hanging Leg Raise With Dumbbell is a intermediate-level strength exercise targeting abdominals.,30 Hanging Leg Raise With Dumbbell targeting Abdominals using Dumbbell at Intermediate level. 30 Hanging Leg Raise With Dumbbell is a intermediate-level strength exercise targeting abdominals.
